,train_engine_id,sim_score,total_life
994,95,0.9993507916719117,283
995,96,0.9992415810339789,336
945,46,0.9989230755780872,256
916,17,0.9988638052157447,276
904,5,0.9983806408432594,269
953,54,0.9979457262516772,257
930,31,0.9977384666298366,234
991,92,0.9977006223677327,341
910,11,0.9964862636346892,240
968,69,0.9964053206737138,362
906,7,0.9961987206295716,259
958,59,0.9957623801534525,231
901,2,0.9945808900047485,287
982,83,0.9945786730991112,293
977,78,0.9944401825402298,231
947,48,0.9937859508930483,231
942,43,0.993696854568166,207
988,89,0.9932694776016298,217
909,10,0.9929094193860186,222
914,15,0.9927799360623855,207
932,33,0.9903129010367169,200
946,47,0.9902869471679315,214
929,30,0.9892414142786321,194
971,72,0.9886425336376717,213
950,51,0.9876876605950646,213
981,82,0.9873888953769834,214
978,79,0.9848191700452401,199
960,61,0.9847378335661515,185
966,67,0.9841252464162089,313
940,41,0.9832037356917549,216
900,1,0.9820367362378495,192
996,97,0.9814990649405361,202
908,9,0.9805059013362543,201
963,64,0.9787585849763972,283
985,86,0.9762553750227835,278
917,18,0.9733457251600083,195
998,99,0.9715377104743605,185
943,44,0.9714757744095508,192
980,81,0.9690701952197003,240
941,42,0.9673786158580424,196
974,75,0.9659627625379978,229
987,88,0.9656930287988834,213
924,25,0.9627412343798274,230
984,85,0.9552270804491069,188
948,49,0.9533254261060281,215
993,94,0.953321025184043,258
989,90,0.9490805693950514,154
902,3,0.9490360053316806,179
951,52,0.9486446697415764,213
983,84,0.9480632137984178,267
